dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
ai2d,m3,5,576,576,766,576,44,Platt Scaling (1D),57.99999999999999,6.086777043221354,7.941867832666856,0.23798614272350044,0.6042564655172413
ai2d,m3,5,576,576,766,766,44,Trajectory Platt (5D),57.99999999999999,7.209550842642785,9.898566052317621,0.2411921095906809,0.6104782430213465
ai2d,m3,5,576,576,766,576,45,Naive Confidence (NC),57.99999999999999,41.996879276508714,41.9968792765087,0.4199503697618455,0.6269114326765188
ai2d,m3,5,576,576,766,576,45,Temperature Scaling (TS),57.99999999999999,8.232915734088813,13.200911541479963,0.24567629046137668,0.6269114326765188
ai2d,m3,5,576,576,766,576,45,Platt Scaling (1D),57.99999999999999,4.07759652927153,7.993612546078184,0.23232508069467772,0.6269114326765188
ai2d,m3,5,576,576,766,766,45,Trajectory Platt (5D),57.99999999999999,6.074428651481866,8.923186499625443,0.2347754748429224,0.6301955049261083
ai2d,m3,5,576,576,766,576,46,Naive Confidence (NC),57.99999999999999,41.988752168786625,41.98875216878662,0.41978760191496467,0.6148655582922824
ai2d,m3,5,576,576,766,576,46,Temperature Scaling (TS),57.99999999999999,8.62102937740339,14.147779159487195,0.2471287629864243,0.6148655582922824
ai2d,m3,5,576,576,766,576,46,Platt Scaling (1D),57.99999999999999,6.687284381181503,10.70747381171735,0.23567025878859651,0.6148655582922824
ai2d,m3,5,576,576,766,766,46,Trajectory Platt (5D),57.99999999999999,6.552723919972779,8.104131164029244,0.23040761441843188,0.65001539408867
chartqa,m3,1,1,1,1,1,42,Naive Confidence (NC),6.0,73.34324871003628,73.34324871003629,0.6212996825468461,0.8222517730496455
chartqa,m3,1,1,1,1,1,42,Temperature Scaling (TS),6.0,47.64719518465729,47.6471951846573,0.2793329620976095,0.8222517730496455
chartqa,m3,1,1,1,1,1,42,Platt Scaling (1D),6.0,1.9459954416709204,2.562224679297253,0.05107038129792046,0.8222517730496455
chartqa,m3,1,1,1,1,1,42,Trajectory Platt (5D),6.0,2.5168045033351523,2.544491922424641,0.051035904843294455,0.8222517730496455
chartqa,m3,1,1,1,1,1,43,Naive Confidence (NC),6.0,74.12193463742733,74.12193463742736,0.6349517259539124,0.86541445035461
